bmi,geo,year,value,flag
BMI25-29,AT,2008,36.5,
BMI25-29,AT,2014,33.3,
BMI25-29,AT,2017,35,
BMI25-29,AT,2019,35,
BMI25-29,BE,2008,33.5,
BMI25-29,BE,2014,35.3,
BMI25-29,BE,2017,34,
BMI25-29,BE,2019,33.9,
BMI25-29,BG,2008,39.3,
BMI25-29,BG,2014,39.2,
BMI25-29,BG,2017,45.3,
BMI25-29,BG,2019,41.2,
BMI25-29,CY,2008,35.7,
BMI25-29,CY,2014,33.8,
BMI25-29,CY,2017,38,
BMI25-29,CY,2019,34.6,
BMI25-29,CZ,2008,38.3,
BMI25-29,CZ,2014,37.6,
BMI25-29,CZ,2017,41.9,u
BMI25-29,CZ,2019,40.1,
BMI25-29,DE,2008,36.3,
BMI25-29,DE,2014,35.2,
BMI25-29,DE,2019,34.5,
BMI25-29,DK,2014,32.9,
BMI25-29,DK,2019,34,
BMI25-29,EA18,2017,35.2,e
BMI25-29,EA19,2017,35.2,e
BMI25-29,EE,2008,32.5,
BMI25-29,EE,2014,33.5,
BMI25-29,EE,2017,35.1,u
BMI25-29,EE,2019,34.9,
BMI25-29,EL,2008,38.7,
BMI25-29,EL,2014,39.4,
BMI25-29,EL,2019,41,
BMI25-29,ES,2008,37.3,
BMI25-29,ES,2014,35.7,
BMI25-29,ES,2017,37.6,
BMI25-29,ES,2019,37.8,
BMI25-29,EU27_2007,2017,36.8,e
BMI25-29,EU27_2020,2014,35.7,
BMI25-29,EU27_2020,2017,36.9,e
BMI25-29,EU27_2020,2019,36.2,
BMI25-29,EU28,2014,35.7,
BMI25-29,EU28,2017,36.8,e
BMI25-29,FI,2014,36.4,
BMI25-29,FI,2017,40.6,
BMI25-29,FI,2019,38.1,
BMI25-29,FR,2008,31.4,
BMI25-29,FR,2014,31.9,
BMI25-29,FR,2017,30.7,
BMI25-29,FR,2019,32.1,
BMI25-29,HR,2014,38.7,
BMI25-29,HR,2017,42.6,
BMI25-29,HR,2019,41.7,
BMI25-29,HU,2008,34.9,
BMI25-29,HU,2014,34,
BMI25-29,HU,2017,36.3,
BMI25-29,HU,2019,35.4,
BMI25-29,IE,2014,37,
BMI25-29,IE,2017,41.9,u
BMI25-29,IE,2019,,u
BMI25-29,IS,2014,38.6,
BMI25-29,IS,2019,39.7,
BMI25-29,IT,2014,34.1,
BMI25-29,IT,2019,33.9,
BMI25-29,LT,2014,38.3,
BMI25-29,LT,2017,38.8,
BMI25-29,LT,2019,37.9,
BMI25-29,LU,2014,32.4,
BMI25-29,LU,2017,33.3,
BMI25-29,LU,2019,31.9,
BMI25-29,LV,2008,38,
BMI25-29,LV,2014,35.2,
BMI25-29,LV,2017,35.4,
BMI25-29,LV,2019,35.3,
BMI25-29,MK,2017,45.2,
BMI25-29,MT,2008,36.8,u
BMI25-29,MT,2014,35,
BMI25-29,MT,2017,36.5,
BMI25-29,MT,2019,36.1,
BMI25-29,NL,2014,36,
BMI25-29,NL,2017,34.2,
BMI25-29,NL,2019,35.4,
BMI25-29,NO,2014,36.2,
BMI25-29,NO,2017,36.3,
BMI25-29,NO,2019,36.5,
BMI25-29,PL,2008,37.6,
BMI25-29,PL,2014,37.5,
BMI25-29,PL,2017,39.1,
BMI25-29,PL,2019,39.1,
BMI25-29,PT,2014,36.9,
BMI25-29,PT,2017,37.6,
BMI25-29,PT,2019,38.2,
BMI25-29,RO,2008,42.4,
BMI25-29,RO,2014,46.4,
BMI25-29,RO,2017,52.5,
BMI25-29,RO,2019,47.7,
BMI25-29,RS,2017,36.2,
